,Unnamed: 0,GID_0,GID_1_2,NAME_0,Province,began,ended,Year,month,duration,disaster,Damages USD,Deaths,N_D_USD,N_Deaths,Date,Days
59,846,PHL,PHL.5_1,Philippines,Albay,1989-11-03,1989-11-08,1989.0,1989-11,5 days,Tropical Cyclone,49897887.418305874,9.897381443942328,523927817.8922117,103.92250516139444,1989-11-03,19
60,857,PHL,PHL.5_1,Philippines,Albay,1989-10-09,1989-10-09,1989.0,1989-10,0 days,Tropical Cyclone,59622128.4770405,4.833604891227648,1281875762.2563708,103.92250516139444,1989-10-09,6
61,879,PHL,PHL.5_1,Philippines,Albay,1988-11-05,1988-11-05,1988.0,1988-11,0 days,Tropical Cyclone,959505177.074849,132.85866656843837,3838020708.299396,531.4346662737535,1988-11-05,9
62,883,PHL,PHL.5_1,Philippines,Albay,1988-10-21,1988-10-21,1988.0,1988-10,0 days,Tropical Cyclone,952681914.70577,117.6879537768866,6192432445.587504,764.9716995497628,1988-10-21,96
63,890,PHL,PHL.5_1,Philippines,Albay,1987-08-08,1987-08-08,1987.0,1987-08,0 days,Tropical Cyclone,476547743.1386128,24.68979999335545,3097560330.400983,160.48369995681043,1987-08-08,305
64,896,PHL,PHL.5_1,Philippines,Albay,1982-09-05,1982-09-05,1982.0,1982-09,0 days,Tropical Cyclone,0.0,33.05538690660168,0.0,140.48539435305716,1982-09-05,73
65,900,PHL,PHL.6_1,Philippines,Antique,2019-12-24,2019-12-28,2019.0,2019-12,4 days,Tropical Cyclone,683566.1087237081,2.7391304347826084,15722020.500645287,63.0,2019-12-24,8
66,913,PHL,PHL.6_1,Philippines,Antique,2018-07-17,2018-07-21,2018.0,2018-07,4 days,Tropical Cyclone,542011.2776968718,0.0,28184586.44023733,,2018-07-17,150
67,941,PHL,PHL.6_1,Philippines,Antique,2014-12-12,2014-12-12,2014.0,2014-12,0 days,Tropical Cyclone,2598903.6048802407,0.3488583562887879,144239150.07085335,19.36163877402773,2014-12-12,13
68,974,PHL,PHL.6_1,Philippines,Antique,2009-09-02,2009-09-08,2009.0,2009-09,6 days,Tropical Cyclone,0.0,0.16713056796217,0.0,1.16991397573519,2009-09-02,22
69,979,PHL,PHL.6_1,Philippines,Antique,2009-07-23,2009-07-26,2009.0,2009-07,3 days,Tropical Cyclone,375611.8423874544,0.6137253643200997,11456161.192817356,18.71862361176304,2009-07-23,0
70,998,PHL,PHL.6_1,Philippines,Antique,2008-05-10,2008-05-18,2008.0,2008-05,8 days,Tropical Cyclone,0.0,0.1132739042130769,0.0,1.189375994237308,2008-05-10,26
71,1003,PHL,PHL.6_1,Philippines,Antique,1995-10-09,1995-10-26,1995.0,1995-10,17 days,Tropical Cyclone,11352737.114561545,10.366237675583267,312200270.6504425,285.07153607853985,1995-10-09,23
72,1018,PHL,PHL.6_1,Philippines,Antique,1984-11-03,1984-11-03,1984.0,1984-11,0 days,Tropical Cyclone,356861875.3342568,232.45238280881983,3390187815.67544,2208.297636683789,1984-11-03,62
73,1023,PHL,PHL.7_1,Philippines,Apayao,2019-12-24,2019-12-28,2019.0,2019-12,4 days,Tropical Cyclone,1025349.1630855622,4.108695652173913,15722020.500645287,63.0,2019-12-24,8
74,1036,PHL,PHL.7_1,Philippines,Apayao,2019-07-18,2019-07-18,2019.0,2019-07,0 days,Tropical Cyclone,18872024.60807645,0.2,377440492.1615289,4.0,2019-07-18,86
75,1052,PHL,PHL.7_1,Philippines,Apayao,2018-10-30,2018-10-30,2018.0,2018-10,0 days,Tropical Cyclone,13432724.42975784,0.4931675976937589,331340535.93402666,12.16480074311272,2018-10-30,40
76,1071,PHL,PHL.7_1,Philippines,Apayao,2018-09-19,2018-09-19,2018.0,2018-09,0 days,Tropical Cyclone,688029.5281690172,0.1689555658765656,20640885.845070515,5.068666976296968,2018-09-19,2
77,1094,PHL,PHL.7_1,Philippines,Apayao,2018-09-16,2018-09-16,2018.0,2018-09,0 days,Tropical Cyclone,2982809.757632228,7.298880445867634,34799447.17237599,85.15360520178906,2018-09-16,56
78,1102,PHL,PHL.7_1,Philippines,Apayao,2018-07-17,2018-07-21,2018.0,2018-07,4 days,Tropical Cyclone,813016.9165453077,0.0,28184586.44023733,,2018-07-17,150
79,1130,PHL,PHL.7_1,Philippines,Apayao,2015-10-14,2015-10-20,2015.0,2015-10,6 days,Tropical Cyclone,7140010.422047329,1.486193767170731,259420378.6677196,53.99837354053656,2015-10-14,11
80,1159,PHL,PHL.7_1,Philippines,Apayao,2015-07-12,2015-07-12,2015.0,2015-07,0 days,Tropical Cyclone,100601008.17203616,0.2887613558317464,1844351816.4873288,5.293958190248684,2015-07-12,1
81,1175,PHL,PHL.7_1,Philippines,Apayao,2014-09-10,2014-09-16,2014.0,2014-09,6 days,Tropical Cyclone,1026650.8150219,0.1817994251082415,24297402.62218497,4.302586394228384,2014-09-10,4
82,1193,PHL,PHL.7_1,Philippines,Apayao,2009-09-12,2009-09-13,2009.0,2009-09,1 days,Tropical Cyclone,0.0,0.5264612890808353,0.0,3.509741927205569,2009-09-12,2
83,1198,PHL,PHL.7_1,Philippines,Apayao,1994-07-07,1994-07-07,1994.0,1994-07,0 days,Tropical Cyclone,0.0,2.378598992130622,0.0,4.757197984261244,1994-07-07,13
84,1200,PHL,PHL.7_1,Philippines,Apayao,1989-10-14,1989-10-14,1989.0,1989-10,0 days,Tropical Cyclone,42584836.6950351,2.9862788839481165,766527060.5106318,53.7530199110661,1989-10-14,4
85,1214,PHL,PHL.7_1,Philippines,Apayao,1989-10-02,1989-10-02,1989.0,1989-10,0 days,Tropical Cyclone,25983968.15312777,39.50846963463359,173226454.35418516,263.3897975642239,1989-10-02,15
86,1219,PHL,PHL.7_1,Philippines,Apayao,1989-09-07,1989-09-07,1989.0,1989-09,0 days,Tropical Cyclone,10345468.799618663,4.379875696457237,93109219.196568,39.418881268115136,1989-09-07,23
87,1226,PHL,PHL.7_1,Philippines,Apayao,1987-10-21,1987-10-21,1987.0,1987-10,0 days,Tropical Cyclone,147259777.3621025,35.40081616694348,785385479.2645468,188.8043528903652,1987-10-21,73
88,1230,PHL,PHL.8_1,Philippines,Aurora,2019-12-02,2019-12-03,2019.0,2019-12,1 days,Tropical Cyclone,2568262.1724012564,0.0941176470588235,109151142.3270534,4.0,2019-12-02,21
89,1253,PHL,PHL.8_1,Philippines,Aurora,2019-08-27,2019-08-28,2019.0,2019-08,1 days,Tropical Cyclone,0.0,2.0,0.0,2.0,2019-08-27,30
90,1254,PHL,PHL.8_1,Philippines,Aurora,2018-10-30,2018-10-30,2018.0,2018-10,0 days,Tropical Cyclone,8955149.619838558,0.3287783984625059,331340535.93402666,12.16480074311272,2018-10-30,40
91,1273,PHL,PHL.8_1,Philippines,Aurora,2018-09-19,2018-09-19,2018.0,2018-09,0 days,Tropical Cyclone,458686.3521126781,0.1126370439177104,20640885.845070515,5.068666976296968,2018-09-19,2
92,1296,PHL,PHL.8_1,Philippines,Aurora,2015-10-14,2015-10-20,2015.0,2015-10,6 days,Tropical Cyclone,4760006.948031553,0.9907958447804874,259420378.6677196,53.99837354053656,2015-10-14,11
93,1325,PHL,PHL.8_1,Philippines,Aurora,2012-09-13,2012-09-14,2012.0,2012-09,1 days,Tropical Cyclone,0.0,0.0794404463866401,0.0,1.112166249412962,2012-09-13,12
94,1333,PHL,PHL.8_1,Philippines,Aurora,2011-09-24,2011-09-24,2011.0,2011-09,0 days,Tropical Cyclone,17069171.666715622,3.4271171326427874,580351836.6683311,116.52198250985478,2011-09-24,4
95,1350,PHL,PHL.8_1,Philippines,Aurora,2010-07-12,2010-07-15,2010.0,2010-07,3 days,Tropical Cyclone,1696499.6198925667,15.998587900147369,17813246.00887195,167.98517295154736,2010-07-12,40
96,1356,PHL,PHL.8_1,Philippines,Aurora,2009-10-28,2009-10-28,2009.0,2009-10,0 days,Tropical Cyclone,1534334.8026961265,1.7217601907046187,40659872.27144735,45.6266450536724,2009-10-28,17
97,1370,PHL,PHL.8_1,Philippines,Aurora,2009-09-29,2009-10-10,2009.0,2009-09,11 days,Tropical Cyclone,37747042.4545546,14.433637483769088,1566502261.864016,598.9959555764171,2009-09-29,1
98,1390,PHL,PHL.8_1,Philippines,Aurora,2006-11-13,2006-11-13,2006.0,2006-11,0 days,Tropical Cyclone,0.0,1.2301541125748,0.0,7.3809246754488,2006-11-13,16
99,1393,PHL,PHL.8_1,Philippines,Aurora,2005-09-15,2005-09-22,2005.0,2005-09,7 days,Tropical Cyclone,782224.3993794479,1.292819365395062,12124478.190381443,20.038700163623464,2005-09-15,46
100,1409,PHL,PHL.8_1,Philippines,Aurora,2004-11-29,2004-11-30,2004.0,2004-11,1 days,Tropical Cyclone,24045945.904941365,86.0975090153675,577102701.7185928,2066.34021636882,2004-11-29,0
101,1426,PHL,PHL.8_1,Philippines,Aurora,2004-11-23,2004-11-28,2004.0,2004-11,5 days,Tropical Cyclone,0.0,5.530661480913045,,33.18396888547827,2004-11-23,0
102,1434,PHL,PHL.8_1,Philippines,Aurora,1996-07-15,1996-07-15,1996.0,1996-07,0 days,Tropical Cyclone,13528257.354478814,2.018934951672776,263801018.4123369,39.36923155761913,1996-07-15,200
103,1444,PHL,PHL.8_1,Philippines,Aurora,1994-10-18,1994-10-22,1994.0,1994-10,4 days,Tropical Cyclone,37146666.33556393,2.6707076402870134,705786660.3757147,50.74344516545326,1994-10-18,23
104,1454,PHL,PHL.8_1,Philippines,Aurora,1994-06-23,1994-06-23,1994.0,1994-06,0 days,Tropical Cyclone,0.0,0.3020443164610312,0.0,3.171465322840828,1994-06-23,29
105,1460,PHL,PHL.8_1,Philippines,Aurora,1985-10-19,1985-10-20,1985.0,1985-10,1 days,Tropical Cyclone,0.0,21.51343635108833,,161.3507726331625,1985-10-19,3
106,1464,PHL,PHL.8_1,Philippines,Aurora,1985-10-15,1985-10-15,1985.0,1985-10,0 days,Tropical Cyclone,282538782.7305391,21.51343635108833,2119040870.4790432,161.3507726331625,1985-10-15,116
107,1468,PHL,,Philippines,Basilan,2014-01-19,2014-01-20,2014.0,2014-01,1 days,Tropical Cyclone,2044602.76938536,10.894369395642382,15947901.601205803,84.97608128601058,2014-01-19,71
108,1489,PHL,PHL.10_1,Philippines,Bataan,2019-12-02,2019-12-03,2019.0,2019-12,1 days,Tropical Cyclone,3852393.258601885,0.1411764705882353,109151142.3270534,4.0,2019-12-02,21
109,1512,PHL,PHL.10_1,Philippines,Bataan,2018-09-19,2018-09-19,2018.0,2018-09,0 days,Tropical Cyclone,688029.5281690172,0.1689555658765656,20640885.845070515,5.068666976296968,2018-09-19,2
110,1535,PHL,PHL.10_1,Philippines,Bataan,2015-10-14,2015-10-20,2015.0,2015-10,6 days,Tropical Cyclone,7140010.422047329,1.486193767170731,259420378.6677196,53.99837354053656,2015-10-14,11
111,1564,PHL,PHL.10_1,Philippines,Bataan,2014-12-12,2014-12-12,2014.0,2014-12,0 days,Tropical Cyclone,3898355.407320361,0.5232875344331819,144239150.07085335,19.36163877402773,2014-12-12,13
112,1597,PHL,PHL.10_1,Philippines,Bataan,2014-09-10,2014-09-16,2014.0,2014-09,6 days,Tropical Cyclone,1026650.8150219,0.1817994251082415,24297402.62218497,4.302586394228384,2014-09-10,4
113,1615,PHL,PHL.10_1,Philippines,Bataan,2013-10-12,2013-10-14,2013.0,2013-10,2 days,Tropical Cyclone,11003213.280645853,1.8745813615976068,128370821.60753496,21.870115885305413,2013-10-12,1
114,1624,PHL,PHL.10_1,Philippines,Bataan,2012-09-13,2012-09-14,2012.0,2012-09,1 days,Tropical Cyclone,0.0,0.1191606695799602,0.0,1.112166249412962,2012-09-13,12
115,1632,PHL,PHL.10_1,Philippines,Bataan,2012-07-31,2012-08-07,2012.0,2012-07,7 days,Tropical Cyclone,772326.0245055425,3.518489589051916,14159310.44926828,64.5056424659518,2012-07-31,47
116,1645,PHL,PHL.10_1,Philippines,Bataan,2011-09-24,2011-09-24,2011.0,2011-09,0 days,Tropical Cyclone,25603757.50007344,5.1406756989641815,580351836.6683311,116.52198250985478,2011-09-24,4
117,1662,PHL,PHL.10_1,Philippines,Bataan,2011-06-21,2011-06-25,2011.0,2011-06,4 days,Tropical Cyclone,1251922.0184805812,1.3053246733740267,21699981.653663408,22.62562767181646,2011-06-21,1
118,1675,PHL,PHL.10_1,Philippines,Bataan,2010-07-12,2010-07-15,2010.0,2010-07,3 days,Tropical Cyclone,2544749.4298388497,23.99788185022105,17813246.00887195,167.98517295154736,2010-07-12,40
119,1681,PHL,PHL.10_1,Philippines,Bataan,2009-10-28,2009-10-28,2009.0,2009-10,0 days,Tropical Cyclone,2301502.20404419,2.5826402860569284,40659872.27144735,45.6266450536724,2009-10-28,17
120,1695,PHL,PHL.10_1,Philippines,Bataan,2009-09-08,2009-09-09,2009.0,2009-09,1 days,Tropical Cyclone,5060139.035049779,5.264612890808353,16867130.1168326,17.548709636027844,2009-09-08,0
121,1703,PHL,PHL.10_1,Philippines,Bataan,2009-09-02,2009-09-08,2009.0,2009-09,6 days,Tropical Cyclone,0.0,0.250695851943255,0.0,1.16991397573519,2009-09-02,22
122,1708,PHL,PHL.10_1,Philippines,Bataan,2004-08-25,2004-08-26,2004.0,2004-08,1 days,Tropical Cyclone,0.0,3.116562372965311,0.0,44.67072734583613,2004-08-25,0
123,1732,PHL,PHL.10_1,Philippines,Bataan,2004-08-24,2004-09-12,2004.0,2004-08,19 days,Tropical Cyclone,5706457.632052126,5.235461339074671,93205474.6568514,85.5125352048863,2004-08-24,41
124,1745,PHL,PHL.10_1,Philippines,Bataan,2002-07-06,2002-07-19,2002.0,2002-07,13 days,Tropical Cyclone,2553892.979214461,5.789688970023474,35754501.709002465,81.05564558032864,2002-07-06,2
125,1755,PHL,PHL.10_1,Philippines,Bataan,2000-07-07,2000-07-07,2000.0,2000-07,0 days,Tropical Cyclone,9264114.564597167,4.725876079057099,203810520.4211377,103.96927373925617,2000-07-07,0
126,1775,PHL,PHL.10_1,Philippines,Bataan,2000-05-18,2000-05-25,2000.0,2000-05,7 days,Tropical Cyclone,0.0,1.3132960893379726,,8.317541899140494,2000-05-18,106
127,1780,PHL,PHL.10_1,Philippines,Bataan,1994-10-18,1994-10-22,1994.0,1994-10,4 days,Tropical Cyclone,55719999.50334589,4.00606146043052,705786660.3757147,50.74344516545326,1994-10-18,23
128,1790,PHL,PHL.10_1,Philippines,Bataan,1989-11-03,1989-11-08,1989.0,1989-11,5 days,Tropical Cyclone,37423415.563729405,7.423036082956745,523927817.8922117,103.92250516139444,1989-11-03,19
129,1801,PHL,PHL.10_1,Philippines,Bataan,1989-10-14,1989-10-14,1989.0,1989-10,0 days,Tropical Cyclone,42584836.6950351,2.9862788839481165,766527060.5106318,53.7530199110661,1989-10-14,4
130,1815,PHL,PHL.10_1,Philippines,Bataan,1989-10-09,1989-10-09,1989.0,1989-10,0 days,Tropical Cyclone,44716596.357780375,3.625203668420736,1281875762.2563708,103.92250516139444,1989-10-09,6
131,1837,PHL,PHL.10_1,Philippines,Bataan,1985-06-20,1985-06-20,1985.0,1985-06,0 days,Tropical Cyclone,59953567.876326144,17.576336888144063,679473769.2650295,199.19848473229936,1985-06-20,144
